h, r
397.82447722695986,	0.0006524929
403.78380298430795,	0.0305065017
404.8303053983677,	0.1001232304
406.9096483150765,	0.222782057
410.93991218123347,	0.3122981794
411.96455553703606,	0.3553954987
412.9782693637101,	0.3852331132
415.92924222842174,	0.3653533927
420.899445599635,	0.3952041226
423.8367565529358,	0.3587497712
429.8015470748482,	0.3952336323
433.7689661485159,	0.4085064525
438.72550760831854,	0.4217825516
442.6956590642684,	0.4383702979
445.69035004549414,	0.4715293963
446.71772578357894,	0.5179416418
448.72875914323424,	0.5577273137
457.69917017550097,	0.6406299781
459.7102035351562,	0.68041565
462.6912326049713,	0.6970001175
465.66406452794,	0.7036398064
467.6559712116203,	0.7202209951
472.5906536131658,	0.7069776846
474.5470393271782,	0.6804648329
476.5006926589086,	0.6506370549
480.4681117325763,	0.6639098751
481.48455794153256,	0.6970624158
482.49280700364227,	0.720270178
482.51739844418154,	0.7501045136
486.4875499001314,	0.76669226
492.40315754096525,	0.7435074498
499.34067615531956,	0.7601050328
504.3108795265328,	0.7899557627
506.2699976228274,	0.7667578372
508.286495747047,	0.8131733615
511.2702571991443,	0.8330727551
515.2076200677085,	0.8098813873
515.1857610094514,	0.7833619778
517.1421467234638,	0.756849126
520.0903872058932,	0.7336544793
525.05239343026,	0.7535604307
526.0661072569342,	0.7833980453
529.0498687090314,	0.8032974389
535.9819225588215,	0.8132651695
540.938464018624,	0.8265412685
545.8868083315801,	0.829872589
549.8323683469907,	0.8166259997
552.7888059762665,	0.8033761315
555.7698350460817,	0.819960599
559.7427188843137,	0.8398632716
561.7264284211476,	0.8464996817
565.6665236719939,	0.82662324
568.6202289189876,	0.8100584457
568.6011022430126,	0.7868539624
572.5521270229876,	0.7802372254
575.5331560928026,	0.7968216929
577.5277951587651,	0.8167178078
579.5224342247275,	0.8366139226
583.4925856806774,	0.8532016689
589.4163904683578,	0.8399616374
592.3782928621978,	0.8333416216
597.3293695574362,	0.8399878682
601.2776619551289,	0.8300562051
605.2259543528216,	0.820124542
610.1579043720849,	0.8035663054
613.117074383643,	0.7936313634
618.0736158434454,	0.8069074624
618.0872777548561,	0.8234820933
619.095526816966,	0.8466898555
621.0847011183641,	0.8599561179
624.0384063653578,	0.8433913236
629.9567463884738,	0.8235214396
634.8859640254549,	0.8036482768
635.861424500179,	0.7870769248
640.7933745194423,	0.7705186881
645.752648361527,	0.7871097133
649.725532199759,	0.8070123859
653.698416037991,	0.8269150584
658.6576898800758,	0.8435060836
664.5732975209096,	0.8203212735
670.480708014897,	0.7871916848
677.3990999532763,	0.7805847845
683.3119752118279,	0.7540850481
686.2465537828467,	0.7143157705
691.118391391903,	0.6248291578
697.0421961795831,	0.6115891262
699.9959014265768,	0.5950243319
704.8076266254259,	0.4326093431
706.6683789595635,	0.2900740749
710.5101084482528,	0.1508602906
711.469174629284,	0.1143993814
715.3956079687198,	0.0779483088
720.3166284588544,	0.0481303674
729.2078004049391,	0.0349001724
735.1370699571837,	0.0282899932
742.0527295132808,	0.0183681667
746.0010219109736,	0.0084365035
749.9547790732306,	0.0051346928
756.8786357761743,	0.0051576448

